operator_id,tanker_id,operator_name,phone,email,city,area,pincode,latitude,longitude,operator_type,verification_status,availability_status,tanker_registration_no,tanker_capacity_kl,tanker_type,water_type_supported,vehicle_model,fuel_type,vehicle_year,service_radius_km,completed_jobs,rating,estimated_price_per_km,registration_date,contract_id,contract_status,record_source
OP-BLR-0001,TNK-BLR-0001,Ravi Rao,+91-90000-10001,ravi.rao.1@example.com,Bengaluru,Bommanahalli,560068,12.903671,77.627684,contracted_placeholder,verified,offline,KA-01-TX-1001,12,Water Tanker,treated,Tata 709,Diesel,2020,15,62,4.3,22.53,2025-07-23,,to_be_added_later,synthetic
OP-BLR-0002,TNK-BLR-0002,Harish Mishra,+91-90000-10002,harish.mishra.2@example.com,Bengaluru,Rajajinagar,560010,12.987451,77.558909,contracted_placeholder,verified,available,KA-04-TX-1002,10,Water Tanker,treated,Eicher Pro 2055,Diesel,2018,10,150,4.1,29.18,2025-12-19,,to_be_added_later,synthetic
OP-BLR-0003,TNK-BLR-0003,Suresh Mishra,+91-90000-10003,suresh.mishra.3@example.com,Bengaluru,Hennur,560043,13.023897,77.637757,contracted_placeholder,verified,available,KA-51-TX-1003,12,Water Tanker,general,Tata Ultra,Diesel,2020,40,137,3.7,35.23,2025-10-24,,to_be_added_later,synthetic
OP-BLR-0004,TNK-BLR-0004,Harish Gowda,+91-90000-10004,harish.gowda.4@example.com,Bengaluru,HSR Layout,560102,12.908048,77.641071,contracted_placeholder,verified,available,KA-02-TX-1004,12,Water Tanker,fresh,Tata 709,Diesel,2019,30,97,4.6,25.27,2026-01-24,,to_be_added_later,synthetic
OP-BLR-0005,TNK-BLR-0005,Mithun Verma,+91-90000-10005,mithun.verma.5@example.com,Bengaluru,Banashankari,560085,12.922689,77.551093,contracted_placeholder,verified,offline,KA-03-TX-1005,10,Water Tanker,treated,Tata Ultra,Diesel,2022,15,175,4.5,29.91,2026-04-15,,to_be_added_later,synthetic
OP-BLR-0006,TNK-BLR-0006,Mohan Patil,+91-90000-10006,mohan.patil.6@example.com,Bengaluru,Indiranagar,560038,12.97582,77.641824,contracted_placeholder,verified,available,KA-41-TX-1006,10,Water Tanker,treated,Ashok Leyland Dost,Diesel,2025,25,63,3.7,22.94,2025-04-23,,to_be_added_later,synthetic
OP-BLR-0007,TNK-BLR-0007,Ajay Joshi,+91-90000-10007,ajay.joshi.7@example.com,Bengaluru,Indiranagar,560038,12.964916,77.639306,contracted_placeholder,document_update_required,busy,KA-41-TX-1007,14,Water Tanker,treated,Tata 709,Diesel,2025,50,152,4.0,34.82,2025-04-25,,to_be_added_later,synthetic
OP-BLR-0008,TNK-BLR-0008,Sachin Sharma,+91-90000-10008,sachin.sharma.8@example.com,Bengaluru,JP Nagar,560078,12.898352,77.589253,contracted_placeholder,verified,maintenance,KA-02-TX-1008,10,Water Tanker,treated,BharatBenz 1015R,Diesel,2025,30,116,3.9,29.48,2025-06-15,,to_be_added_later,synthetic
OP-BLR-0009,TNK-BLR-0009,Deepak Singh,+91-90000-10009,deepak.singh.9@example.com,Bengaluru,Electronic City,560100,12.83899,77.658008,contracted_placeholder,document_update_required,offline,KA-02-TX-1009,5,Water Tanker,general,Tata 709,Diesel,2018,40,4,4.3,23.38,2026-06-30,,to_be_added_later,synthetic
OP-BLR-0010,TNK-BLR-0010,Ramesh Singh,+91-90000-10010,ramesh.singh.10@example.com,Bengaluru,Koramangala,560034,12.929842,77.624943,contracted_placeholder,verified,maintenance,KA-41-TX-1010,14,Water Tanker,fresh,BharatBenz 1015R,Diesel,2023,40,140,4.5,30.76,2026-06-14,,to_be_added_later,synthetic
OP-BLR-0011,TNK-BLR-0011,Prakash Verma,+91-90000-10011,prakash.verma.11@example.com,Bengaluru,Kalyan Nagar,560043,13.018024,77.632337,contracted_placeholder,verified,busy,KA-01-TX-1011,5,Water Tanker,fresh,Ashok Leyland Partner,Diesel,2018,10,57,4.8,23.42,2025-09-01,,to_be_added_later,synthetic
OP-BLR-0012,TNK-BLR-0012,Abhishek Naik,+91-90000-10012,abhishek.naik.12@example.com,Bengaluru,Banashankari,560085,12.919617,77.553768,contracted_placeholder,verified,available,KA-04-TX-1012,14,Water Tanker,treated,Tata 709,Diesel,2023,20,138,4.2,31.34,2025-02-25,,to_be_added_later,synthetic
OP-BLR-0013,TNK-BLR-0013,Mahesh Nair,+91-90000-10013,mahesh.nair.13@example.com,Bengaluru,BTM Layout,560076,12.921409,77.603848,contracted_placeholder,verified,busy,KA-02-TX-1013,10,Water Tanker,treated,Ashok Leyland Partner,Diesel,2018,25,86,4.7,39.12,2025-04-11,,to_be_added_later,synthetic
OP-BLR-0014,TNK-BLR-0014,Suraj Kumar,+91-90000-10014,suraj.kumar.14@example.com,Bengaluru,Sarjapur,562125,12.867422,77.791979,contracted_placeholder,verified,available,KA-02-TX-1014,14,Water Tanker,general,Ashok Leyland Dost,Diesel,2023,10,23,5.0,27.3,2026-04-11,,to_be_added_later,synthetic
OP-BLR-0015,TNK-BLR-0015,Sachin Pillai,+91-90000-10015,sachin.pillai.15@example.com,Bengaluru,JP Nagar,560078,12.909795,77.580177,contracted_placeholder,verified,maintenance,KA-41-TX-1015,12,Water Tanker,treated,Eicher Pro 2055,Diesel,2017,10,169,4.4,32.06,2026-06-28,,to_be_added_later,synthetic
OP-BLR-0016,TNK-BLR-0016,Mahesh Yadav,+91-90000-10016,mahesh.yadav.16@example.com,Bengaluru,KR Puram,560036,13.013121,77.688496,contracted_placeholder,verified,offline,KA-04-TX-1016,6,Water Tanker,general,Ashok Leyland Partner,Diesel,2017,30,20,3.7,35.15,2026-06-20,,to_be_added_later,synthetic
OP-BLR-0017,TNK-BLR-0017,Mohan Naik,+91-90000-10017,mohan.naik.17@example.com,Bengaluru,Kengeri,560060,12.917559,77.478519,contracted_placeholder,verified,busy,KA-03-TX-1017,10,Water Tanker,general,Tata 709,Diesel,2017,25,171,4.5,33.26,2025-04-13,,to_be_added_later,synthetic
OP-BLR-0018,TNK-BLR-0018,Suraj Naik,+91-90000-10018,suraj.naik.18@example.com,Bengaluru,Bellandur,560103,12.926643,77.685332,contracted_placeholder,pending,offline,KA-03-TX-1018,8,Water Tanker,treated,Force Traveller,Diesel,2021,30,129,5.0,38.14,2026-06-26,,to_be_added_later,synthetic
OP-BLR-0019,TNK-BLR-0019,Mithun Hegde,+91-90000-10019,mithun.hegde.19@example.com,Bengaluru,Electronic City,560100,12.838857,77.66625,contracted_placeholder,verified,offline,KA-51-TX-1019,12,Water Tanker,treated,Tata Ultra,Diesel,2020,40,169,4.1,35.75,2025-09-28,,to_be_added_later,synthetic
OP-BLR-0020,TNK-BLR-0020,Mohan Reddy,+91-90000-10020,mohan.reddy.20@example.com,Bengaluru,Attibele,562107,12.778849,77.77527,contracted_placeholder,verified,available,KA-02-TX-1020,12,Water Tanker,treated,Mahindra Furio 7,Diesel,2025,40,23,4.2,22.19,2025-03-19,,to_be_added_later,synthetic
OP-BLR-0021,TNK-BLR-0021,Suraj Reddy,+91-90000-10021,suraj.reddy.21@example.com,Bengaluru,Indiranagar,560038,12.97322,77.63557,independent,verified,available,KA-01-TX-1021,16,Water Tanker,treated,Ashok Leyland Partner,Diesel,2018,20,94,4.7,39.68,2026-02-21,,,synthetic
OP-BLR-0022,TNK-BLR-0022,Lokesh Sharma,+91-90000-10022,lokesh.sharma.22@example.com,Bengaluru,Indiranagar,560038,12.978003,77.633597,independent,verified,available,KA-04-TX-1022,14,Water Tanker,general,Ashok Leyland Partner,Diesel,2021,15,45,4.7,24.16,2025-02-09,,,synthetic
OP-BLR-0023,TNK-BLR-0023,Harish Naik,+91-90000-10023,harish.naik.23@example.com,Bengaluru,Bommasandra,560099,12.813795,77.683829,independent,pending,available,KA-51-TX-1023,8,Water Tanker,treated,Tata 709,Diesel,2021,20,117,4.5,29.99,2026-07-04,,,synthetic
OP-BLR-0024,TNK-BLR-0024,Ravi Gowda,+91-90000-10024,ravi.gowda.24@example.com,Bengaluru,Rajarajeshwari Nagar,560098,12.922757,77.522401,independent,verified,available,KA-04-TX-1024,10,Water Tanker,general,Eicher Pro 3015,Diesel,2025,10,66,4.1,33.53,2025-09-18,,,synthetic
OP-BLR-0025,TNK-BLR-0025,Sachin Kumar,+91-90000-10025,sachin.kumar.25@example.com,Bengaluru,Marathahalli,560037,12.965909,77.698015,independent,verified,offline,KA-51-TX-1025,8,Water Tanker,treated,Eicher Pro 2055,Diesel,2022,40,133,4.8,36.4,2025-11-04,,,synthetic
OP-BLR-0026,TNK-BLR-0026,Pradeep Bhat,+91-90000-10026,pradeep.bhat.26@example.com,Bengaluru,Jayanagar,560041,12.928155,77.594671,independent,verified,busy,KA-04-TX-1026,12,Water Tanker,general,Tata Ultra,Diesel,2021,25,103,4.4,22.01,2025-10-21,,,synthetic
OP-BLR-0027,TNK-BLR-0027,Sachin Menon,+91-90000-10027,sachin.menon.27@example.com,Bengaluru,Yelahanka,560064,13.103175,77.59574,independent,verified,available,KA-04-TX-1027,14,Water Tanker,general,Ashok Leyland Dost,Diesel,2018,20,155,4.3,34.66,2025-12-10,,,synthetic
OP-BLR-0028,TNK-BLR-0028,Lokesh Hegde,+91-90000-10028,lokesh.hegde.28@example.com,Bengaluru,HSR Layout,560102,12.916505,77.633258,independent,verified,maintenance,KA-41-TX-1028,14,Water Tanker,treated,Eicher Pro 3015,Diesel,2020,40,57,4.6,31.89,2025-09-07,,,synthetic
OP-BLR-0029,TNK-BLR-0029,Arun Gowda,+91-90000-10029,arun.gowda.29@example.com,Bengaluru,Indiranagar,560038,12.967401,77.646066,independent,verified,available,KA-41-TX-1029,8,Water Tanker,general,Mahindra Furio 7,Diesel,2019,50,108,4.3,32.62,2025-11-21,,,synthetic
OP-BLR-0030,TNK-BLR-0030,Raghu Joshi,+91-90000-10030,raghu.joshi.30@example.com,Bengaluru,Kalyan Nagar,560043,13.024135,77.634547,independent,pending,available,KA-02-TX-1030,14,Water Tanker,treated,Force Traveller,Diesel,2024,40,140,3.9,30.8,2025-10-20,,,synthetic
OP-BLR-0031,TNK-BLR-0031,Santosh Bhat,+91-90000-10031,santosh.bhat.31@example.com,Bengaluru,Thanisandra,560077,13.065088,77.636489,independent,verified,available,KA-02-TX-1031,12,Water Tanker,treated,Eicher Pro 3015,Diesel,2022,30,81,4.3,23.25,2026-03-07,,,synthetic
OP-BLR-0032,TNK-BLR-0032,Ravi Menon,+91-90000-10032,ravi.menon.32@example.com,Bengaluru,Peenya,560058,13.032532,77.534384,independent,verified,available,KA-04-TX-1032,10,Water Tanker,fresh,Tata Ultra,Diesel,2020,25,97,3.9,30.72,2025-01-30,,,synthetic
OP-BLR-0033,TNK-BLR-0033,Rajesh Nair,+91-90000-10033,rajesh.nair.33@example.com,Bengaluru,Peenya,560058,13.038348,77.534013,independent,document_update_required,busy,KA-04-TX-1033,12,Water Tanker,fresh,Tata 709,Diesel,2023,15,42,4.8,25.63,2025-09-24,,,synthetic
OP-BLR-0034,TNK-BLR-0034,Deepak Naik,+91-90000-10034,deepak.naik.34@example.com,Bengaluru,Peenya,560058,13.03013,77.53148,independent,verified,offline,KA-04-TX-1034,8,Water Tanker,treated,Tata 407,Diesel,2025,10,116,5.0,29.0,2025-03-12,,,synthetic
OP-BLR-0035,TNK-BLR-0035,Ravi Verma,+91-90000-10035,ravi.verma.35@example.com,Bengaluru,Marathahalli,560037,12.964528,77.699341,independent,verified,available,KA-01-TX-1035,12,Water Tanker,treated,BharatBenz 1015R,Diesel,2022,15,51,4.4,41.27,2025-04-28,,,synthetic
OP-BLR-0036,TNK-BLR-0036,Anil Gowda,+91-90000-10036,anil.gowda.36@example.com,Bengaluru,KR Puram,560036,12.999911,77.692391,independent,verified,maintenance,KA-04-TX-1036,16,Water Tanker,treated,Tata Ultra,Diesel,2020,10,148,4.6,28.03,2025-05-04,,,synthetic
OP-BLR-0037,TNK-BLR-0037,Vikram Pillai,+91-90000-10037,vikram.pillai.37@example.com,Bengaluru,Marathahalli,560037,12.961684,77.690503,independent,verified,available,KA-04-TX-1037,14,Water Tanker,treated,Eicher Pro 2055,Diesel,2024,40,109,3.8,25.52,2026-06-19,,,synthetic
OP-BLR-0038,TNK-BLR-0038,Suraj Singh,+91-90000-10038,suraj.singh.38@example.com,Bengaluru,Banashankari,560085,12.924469,77.550496,independent,verified,offline,KA-01-TX-1038,8,Water Tanker,fresh,Mahindra Furio 7,Diesel,2023,20,119,3.6,39.02,2025-07-06,,,synthetic
OP-BLR-0039,TNK-BLR-0039,Dinesh Das,+91-90000-10039,dinesh.das.39@example.com,Bengaluru,Attibele,562107,12.774145,77.776085,independent,verified,available,KA-01-TX-1039,10,Water Tanker,treated,Ashok Leyland Partner,Diesel,2023,25,66,4.4,26.81,2026-05-03,,,synthetic
OP-BLR-0040,TNK-BLR-0040,Ashok Kumar,+91-90000-10040,ashok.kumar.40@example.com,Bengaluru,Attibele,562107,12.773408,77.76847,independent,verified,busy,KA-03-TX-1040,10,Water Tanker,fresh,Eicher Pro 3015,Diesel,2025,20,23,4.1,31.07,2025-11-10,,,synthetic
OP-BLR-0041,TNK-BLR-0041,Harish Gowda,+91-90000-10041,harish.gowda.41@example.com,Bengaluru,Hennur,560043,13.026949,77.634886,independent,document_update_required,busy,KA-02-TX-1041,8,Water Tanker,fresh,Tata Ultra,Diesel,2025,30,49,4.0,24.01,2025-07-18,,,synthetic
OP-BLR-0042,TNK-BLR-0042,Harish Das,+91-90000-10042,harish.das.42@example.com,Bengaluru,JP Nagar,560078,12.903136,77.589028,independent,verified,available,KA-01-TX-1042,12,Water Tanker,fresh,Ashok Leyland Dost,Diesel,2024,10,45,4.8,33.48,2026-04-26,,,synthetic
OP-BLR-0043,TNK-BLR-0043,Ashok Bhat,+91-90000-10043,ashok.bhat.43@example.com,Bengaluru,Bommasandra,560099,12.823648,77.67474,independent,pending,available,KA-01-TX-1043,10,Water Tanker,treated,Tata 407,Diesel,2019,15,47,4.7,40.98,2025-03-29,,,synthetic
OP-BLR-0044,TNK-BLR-0044,Prakash Pillai,+91-90000-10044,prakash.pillai.44@example.com,Bengaluru,Thanisandra,560077,13.060501,77.647852,independent,verified,busy,KA-04-TX-1044,16,Water Tanker,treated,Tata Ultra,Diesel,2023,20,106,4.4,23.2,2025-04-12,,,synthetic
OP-BLR-0045,TNK-BLR-0045,Dinesh Rao,+91-90000-10045,dinesh.rao.45@example.com,Bengaluru,Yelahanka,560064,13.093999,77.592138,independent,verified,available,KA-04-TX-1045,10,Water Tanker,fresh,BharatBenz 1015R,Diesel,2017,15,169,4.0,27.65,2026-04-10,,,synthetic
OP-BLR-0046,TNK-BLR-0046,Harish Rao,+91-90000-10046,harish.rao.46@example.com,Bengaluru,Bellandur,560103,12.931837,77.683262,independent,verified,available,KA-02-TX-1046,12,Water Tanker,general,Ashok Leyland Dost,Diesel,2018,10,160,3.8,28.15,2025-10-23,,,synthetic
OP-BLR-0047,TNK-BLR-0047,Prakash Mishra,+91-90000-10047,prakash.mishra.47@example.com,Bengaluru,Kalyan Nagar,560043,13.021865,77.63844,independent,verified,busy,KA-04-TX-1047,6,Water Tanker,treated,Eicher Pro 3015,Diesel,2022,30,176,4.0,23.83,2025-01-22,,,synthetic
OP-BLR-0048,TNK-BLR-0048,Suresh Sharma,+91-90000-10048,suresh.sharma.48@example.com,Bengaluru,Banashankari,560085,12.925803,77.545876,independent,verified,maintenance,KA-04-TX-1048,12,Water Tanker,fresh,Tata 709,Diesel,2024,20,120,4.2,28.42,2025-04-18,,,synthetic
OP-BLR-0049,TNK-BLR-0049,Rajesh Joshi,+91-90000-10049,rajesh.joshi.49@example.com,Bengaluru,KR Puram,560036,13.007428,77.698001,independent,verified,offline,KA-01-TX-1049,10,Water Tanker,treated,Eicher Pro 2055,Diesel,2018,50,177,4.2,32.29,2025-01-02,,,synthetic
OP-BLR-0050,TNK-BLR-0050,Pradeep Reddy,+91-90000-10050,pradeep.reddy.50@example.com,Bengaluru,Banaswadi,560043,13.014495,77.652962,independent,verified,available,KA-01-TX-1050,8,Water Tanker,fresh,BharatBenz 1015R,Diesel,2024,40,48,4.3,22.58,2025-09-03,,,synthetic
OP-BLR-0051,TNK-BLR-0051,Anil Pillai,+91-90000-10051,anil.pillai.51@example.com,Bengaluru,KR Puram,560036,13.008336,77.688891,independent,document_update_required,offline,KA-04-TX-1051,16,Water Tanker,fresh,Ashok Leyland Dost,Diesel,2024,40,3,4.0,36.11,2026-03-02,,,synthetic
OP-BLR-0052,TNK-BLR-0052,Nithin Verma,+91-90000-10052,nithin.verma.52@example.com,Bengaluru,Bommasandra,560099,12.81702,77.676837,independent,pending,available,KA-02-TX-1052,14,Water Tanker,treated,Eicher Pro 3015,Diesel,2022,50,116,4.3,38.41,2025-10-17,,,synthetic
OP-BLR-0053,TNK-BLR-0053,Abhishek Patil,+91-90000-10053,abhishek.patil.53@example.com,Bengaluru,Jayanagar,560041,12.925617,77.591322,independent,verified,busy,KA-04-TX-1053,16,Water Tanker,general,Ashok Leyland Partner,Diesel,2023,15,114,4.8,30.22,2025-11-22,,,synthetic
OP-BLR-0054,TNK-BLR-0054,Karthik Nair,+91-90000-10054,karthik.nair.54@example.com,Bengaluru,Bommasandra,560099,12.820878,77.681132,independent,verified,maintenance,KA-02-TX-1054,10,Water Tanker,fresh,Tata 709,Diesel,2024,10,169,4.3,31.14,2025-05-28,,,synthetic
OP-BLR-0055,TNK-BLR-0055,Naveen Shetty,+91-90000-10055,naveen.shetty.55@example.com,Bengaluru,Rajajinagar,560010,12.995504,77.54924,independent,verified,available,KA-01-TX-1055,14,Water Tanker,general,Force Traveller,Diesel,2023,20,120,4.5,39.75,2026-05-15,,,synthetic
OP-BLR-0056,TNK-BLR-0056,Vijay Verma,+91-90000-10056,vijay.verma.56@example.com,Bengaluru,Marathahalli,560037,12.96205,77.693998,independent,verified,available,KA-01-TX-1056,14,Water Tanker,fresh,Tata 709,Diesel,2024,15,161,4.6,40.07,2025-02-17,,,synthetic
OP-BLR-0057,TNK-BLR-0057,Mahesh Hegde,+91-90000-10057,mahesh.hegde.57@example.com,Bengaluru,Kengeri,560060,12.912097,77.477029,independent,verified,busy,KA-02-TX-1057,6,Water Tanker,treated,Eicher Pro 3015,Diesel,2020,25,91,4.9,24.86,2026-04-18,,,synthetic
OP-BLR-0058,TNK-BLR-0058,Yogesh Rao,+91-90000-10058,yogesh.rao.58@example.com,Bengaluru,Hennur,560043,13.02205,77.635874,independent,pending,busy,KA-02-TX-1058,5,Water Tanker,general,Tata Ultra,Diesel,2021,40,170,4.9,35.81,2026-04-13,,,synthetic
OP-BLR-0059,TNK-BLR-0059,Ganesh Nair,+91-90000-10059,ganesh.nair.59@example.com,Bengaluru,Jayanagar,560041,12.918706,77.591902,independent,verified,available,KA-51-TX-1059,8,Water Tanker,general,Eicher Pro 3015,Diesel,2021,10,123,4.4,35.72,2025-02-20,,,synthetic
OP-BLR-0060,TNK-BLR-0060,Rohit Verma,+91-90000-10060,rohit.verma.60@example.com,Bengaluru,Attibele,562107,12.781531,77.765504,independent,verified,available,KA-51-TX-1060,14,Water Tanker,fresh,Ashok Leyland Dost,Diesel,2018,40,155,4.5,28.18,2026-03-28,,,synthetic
